Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), boxed.stencilGrid (library)",645787,49450,8576,10,97517568
"All.00,012 cells (Tiny), boxed.gridSeq",651810,53830,8576,10,97517568
"All.00,012 cells (Tiny), boxed.gridSeqInline",584932,27442,7232,9,97517568
"All.00,012 cells (Tiny), boxed.gridSeqStrict",577087,26820,6464,7,97517568
"All.00,012 cells (Tiny), boxed.gridPar",25543688,2527694,25116,12,97517568
"All.00,012 cells (Tiny), boxed.gridParSpark",1192457,115868,12160,17,97517568
"All.00,012 cells (Tiny), boxed.stencilFoldGrid (library)",204335,13198,1824,2,97517568
"All.00,012 cells (Tiny), boxed.foldSeq",205260,12944,1824,2,97517568
"All.00,012 cells (Tiny), boxed.foldSeqInline",179144,14500,1088,1,97517568
"All.00,012 cells (Tiny), boxed.foldSeqStrict",139116,13208,320,0,97517568
"All.00,012 cells (Tiny), boxed.foldPar",26720776,1741358,18983,16,97517568
"All.00,012 cells (Tiny), boxed.foldParSpark",835985,61426,5973,8,97517568
"All.00,400 cells (Small20), boxed.stencilGrid (library)",28133935,1352694,383777,1936,97517568
"All.00,400 cells (Small20), boxed.gridSeq",28576061,1838204,383778,1935,97517568
"All.00,400 cells (Small20), boxed.gridSeqInline",26360327,1646970,338978,1896,97517568
"All.00,400 cells (Small20), boxed.gridSeqStrict",26964770,1882204,313378,814,97517568
"All.00,400 cells (Small20), boxed.gridPar",50664379,2656530,338144,224,97517568
"All.00,400 cells (Small20), boxed.gridParSpark",28261804,1982572,375910,888,97517568
"All.00,400 cells (Small20), boxed.stencilFoldGrid (library)",8908688,460382,76256,394,97517568
"All.00,400 cells (Small20), boxed.foldSeq",8942572,860688,76257,394,97517568
"All.00,400 cells (Small20), boxed.foldSeqInline",7748385,545068,35232,170,97517568
"All.00,400 cells (Small20), boxed.foldSeqStrict",6224938,438110,9632,18,97517568
"All.00,400 cells (Small20), boxed.foldPar",37515539,992664,34381,26,97517568
"All.00,400 cells (Small20), boxed.foldParSpark",9442765,299448,48326,97,97517568
"All.01,024 cells (Small32), boxed.stencilGrid (library)",75036767,3510014,1003940,11705,97517568
"All.01,024 cells (Small32), boxed.gridSeq",74789990,6944694,1003944,11702,97517568
"All.01,024 cells (Small32), boxed.gridSeqInline",68623974,3558928,889252,9445,97517568
"All.01,024 cells (Small32), boxed.gridSeqStrict",70618090,3973606,823716,2437,97517568
"All.01,024 cells (Small32), boxed.gridPar",85382409,3480972,848500,604,97517568
"All.01,024 cells (Small32), boxed.gridParSpark",73711071,2585016,1039855,3285,97517568
"All.01,024 cells (Small32), boxed.stencilFoldGrid (library)",24164416,2243818,198754,211,97517568
