Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), moore 1.stencilFor (library)",7652459,439952,64616,58,275775488
"All.00,012 cells (Tiny), moore 1.tableSeq",7671255,412520,64824,59,275775488
"All.00,012 cells (Tiny), moore 1.tableSeqBounded",3851786,233896,30536,28,275775488
"All.00,012 cells (Tiny), moore 1.tableParWidth",14960339,980354,64579,50,275775488
"All.00,012 cells (Tiny), moore 1.tableParFill",15046636,1004156,65911,67,275775488
"All.00,012 cells (Tiny), moore 1.tableParBoth",22942883,2062084,75588,65,275775488
"All.00,012 cells (Tiny), moore 1.tableParBounded",11759170,697338,42948,25,275775488
"All.00,012 cells (Tiny), moore 1.tableParChunked",24155444,2219580,62398,104,275775488
"All.00,100 cells (Small10), moore 1.stencilFor (library)",62021069,3424088,546379,426,275775488
"All.00,100 cells (Small10), moore 1.tableSeq",62159838,4058768,547995,418,275775488
"All.00,100 cells (Small10), moore 1.tableSeqBounded",31356701,1768872,259321,196,275775488
"All.00,100 cells (Small10), moore 1.tableParWidth",53888232,3537966,454954,343,275775488
"All.00,100 cells (Small10), moore 1.tableParFill",51848681,3571484,464749,335,275775488
"All.00,100 cells (Small10), moore 1.tableParBoth",38994238,1386568,466023,309,275775488
"All.00,100 cells (Small10), moore 1.tableParBounded",21345153,1642112,271793,179,275775488
"All.00,100 cells (Small10), moore 1.tableParChunked",55751635,3839856,334364,964,275775488
"All.00,400 cells (Small20), moore 1.stencilFor (library)",258424218,13450472,2283510,1727,275775488
"All.00,400 cells (Small20), moore 1.tableSeq",257252636,17361844,2289926,1750,275775488
"All.00,400 cells (Small20), moore 1.tableSeqBounded",132424365,6964128,1096925,810,275775488
"All.00,400 cells (Small20), moore 1.tableParWidth",180280468,13813396,1878671,1345,275775488
"All.00,400 cells (Small20), moore 1.tableParFill",160548535,15165956,1917242,1369,275775488
"All.00,400 cells (Small20), moore 1.tableParBoth",100307519,8304240,1889709,1172,275775488
"All.00,400 cells (Small20), moore 1.tableParBounded",57469775,3876650,1109397,731,275775488
"All.00,400 cells (Small20), moore 1.tableParChunked",167669531,15476908,1310580,17501,275775488
"All.01,024 cells (Small32), moore 1.stencilFor (library)",663559765,32407262,5941505,4408,275775488
"All.01,024 cells (Small32), moore 1.tableSeq",661287500,53057700,5957937,4484,275775488
"All.01,024 cells (Small32), moore 1.tableSeqBounded",339435156,27080880,2866613,2096,275775488
"All.01,024 cells (Small32), moore 1.tableParWidth",450873437,35301922,4883827,3502,275775488
"All.01,024 cells (Small32), moore 1.tableParFill",401410351,36071444,4982338,3408,275775488
