Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny) axis0 boxed  map.mapAxis (library)",152726,13116,1768,2,82837504
"All.00,012 cells (Tiny) axis0 boxed  map.mapSeq",151453,13936,1768,2,82837504
"All.00,012 cells (Tiny) axis0 boxed  map.mapPar",7930322,431900,9350,12,82837504
"All.00,012 cells (Tiny) axis0 boxed  map.mapParSpark",642765,53532,6884,11,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanAxis (library)",58338,3656,336,0,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeq",58012,3242,336,0,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqMut",58572,3354,336,0,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFreeze",58590,3238,336,0,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFibre",76882,6596,584,0,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqStrip",279547,26866,2352,3,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParFibre",7473718,614850,8036,8,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParStrip",7536460,539260,7955,9,82837504
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParSpark",556424,32770,5632,8,82837504
"All.00,400 cells (Small20) axis0 boxed  map.mapAxis (library)",4308697,215424,49352,280,82837504
"All.00,400 cells (Small20) axis0 boxed  map.mapSeq",4311302,261936,49352,280,82837504
"All.00,400 cells (Small20) axis0 boxed  map.mapPar",16876745,979698,64245,133,82837504
"All.00,400 cells (Small20) axis0 boxed  map.mapParSpark",6228234,452548,64562,174,82837504
"All.00,400 cells (Small20) axis0 boxed  scan.scanAxis (library)",1874506,110014,9392,25,82837504
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeq",1887416,144302,9392,25,82837504
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqMut",1868678,118832,9392,25,82837504
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFreeze",1875596,114502,9392,25,82837504
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFibre",2032713,154910,9640,14,82837504
